1 	| 13 	| 5 	| 2 	| 1->2
2 	| 7 	| 4 	| 2 	| 3->4
3 	| 4 	| 5 	| 1 	| 5
4 	| 6 	| 2 	| 3 	| 6->7->8
5 	| 2 	| 10 	| 2 	| 9->10
6 	| 8 	| 12 	| 2 	| 11->12
7 	| 3 	| 13 	| 2 	| 13->14
8 	| 6 	| 3 	| 2 	| 15->16
9 	| 2 	| 9 	| 3 	| 17->18->19
10 	| 9 	| 5 	| 2 	| 20->21
11 	| 7 	| 0 	| 2 	| 22->23
12 	| 0 	| 6 	| 3 	| 24->25->26
13 	| 10 	| 3 	| 3 	| 27->28->29
14 	| 2 	| 11 	| 3 	| 30->31->32
15 	| 6 	| 11 	| 3 	| 33->34->35
16 	| 11 	| 5 	| 2 	| 36->37
18 	| 8 	| 13 	| 1 	| 38
21 	| 6 	| 2 	| 3 	| 39->40->41
23 	| 13 	| 11 	| 2 	| 42->43
24 	| 4 	| 13 	| 3 	| 44->45->46
25 	| 6 	| 4 	| 1 	| 47
27 	| 1 	| 6 	| 2 	| 48->49
28 	| 9 	| 10 	| 1 	| 50
32 	| 2 	| 1 	| 1 	| 51
40 	| 1 	| 0 	| 1 	| 52
41 	| 5 	| 4 	| 4 	| 53->54->55->56
44 	| 0 	| 4 	| 2 	| 57->58
45 	| 1 	| 4 	| 3 	| 59->60->61
46 	| 3 	| 6 	| 2 	| 62->63
47 	| 2 	| 0 	| 1 	| 64
49 	| 5 	| 1 	| 2 	| 65->66
50 	| 6 	| 0 	| 3 	| 67->68->69
51 	| 3 	| 4 	| 1 	| 70
54 	| 0 	| 13 	| 3 	| 71->72->73
55 	| 6 	| 11 	| 3 	| 74->75->76
56 	| 9 	| 10 	| 1 	| 77
57 	| 1 	| 12 	| 3 	| 78->79->80
58 	| 7 	| 3 	| 3 	| 81->82->83
68 	| 7 	| 0 	| 2 	| 84->85
69 	| 10 	| 11 	| 2 	| 86->87
75 	| 13 	| 11 	| 2 	| 88->89
77 	| 11 	| 6 	| 4 	| 90->91->92->93
79 	| 11 	| 8 	| 1 	| 94
80 	| 4 	| 6 	| 1 	| 95
94 	| 12 	| 11 	| 1 	| 96
95 	| 0 	| 1 	| 2 	| 97->98
98 	| 9 	| 8 	| 2 	| 99->100
